id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16026470,Custom Urban Garage with Loft,14426041,Christopher,Delridge,High Point,47.54854067,-122.3745324,Entire home/apt,60,3,93,10/28/2018,4.04,1,58
16026758,Cozy home in Seattle,41044,Lisa,Other neighborhoods,Greenwood,47.69403405,-122.3464936,Entire home/apt,118,3,7,8/18/2018,0.29,1,74
16027121,Spacious Magnolia Studio Minutes from Downtown,1806062,Nathan,Magnolia,Southeast Magnolia,47.64679636,-122.3839318,Entire home/apt,120,1,51,11/4/2018,2.11,1,255
16027567,Private Modern Bed in Capitol Hill,35161537,Manasa,Capitol Hill,Stevens,47.61973575,-122.3018988,Private room,88,1,117,10/27/2018,4.92,2,32
16033188,Clean & Large Modern Private Suite with 5 Windows,4286083,Christine,Other neighborhoods,Fremont,47.66068542,-122.3502128,Private room,74,2,50,11/4/2018,2.19,1,174
16054161,The Haven in Maple Leaf B,44186779,Maggie,Northgate,Maple Leaf,47.69225441,-122.3071437,Entire home/apt,62,1,84,11/10/2018,7.24,2,153
16056739,Cozy Ballard Studio with Washer/Dryer,93076718,Tom & Susan,Ballard,Adams,47.67056489,-122.3981907,Entire home/apt,79,3,51,10/21/2018,2.29,1,88
16057038,"Our Home Hotel- Cozy Private Room, Bath & Entrance",21525999,Brian And Claudio,Other neighborhoods,Wallingford,47.65403018,-122.3290499,Entire home/apt,60,1,99,10/29/2018,4.47,1,40
16066222,Spacious MIL in the Heart of Green Lake/Tangletown,99682548,Joel,Other neighborhoods,Wallingford,47.66994885,-122.3236809,Entire home/apt,150,2,12,9/22/2018,2.17,1,87
16069222,Cozy and convenience in West Seattle,33244493,Thanh,Delridge,Riverview,47.54420889,-122.354706,Private room,32,2,1,9/30/2018,0.64,1,43
16072272,Scholar's Room near UW,30804330,David,Capitol Hill,Montlake,47.6361422,-122.3010435,Private room,50,11,15,11/1/2018,0.9,3,2
16079409,"Hello Seattle 304, Next to Convention Center",8039076,Lee+Nancy,Downtown,First Hill,47.60986251,-122.3292726,Entire home/apt,189,2,21,9/3/2018,0.92,2,347
16087683,"3 bedroom townhome, lake view, close to downtown",36060597,Liana,Cascade,Eastlake,47.64551317,-122.3258708,Private room,148,2,1,6/22/2017,0.06,2,164
16088872,The Seattle Skinny House,3106056,Stefanie,Capitol Hill,Stevens,47.62699938,-122.299781,Entire home/apt,209,2,71,10/30/2018,3.02,1,310
16099521,Green Lake/Seattle - Entire Townhome,89411879,Helen,Other neighborhoods,Green Lake,47.67911172,-122.3214657,Entire home/apt,175,2,6,8/13/2017,0.27,2,146
16100188,Spacious Townhouse in Capitol Hill,21226708,Lei,Central Area,Minor,47.61548763,-122.3101204,Entire home/apt,200,2,6,9/11/2017,0.39,1,0
16100660,"Great view, private, modern, clean condo + parking",4568128,Makoto,Beacon Hill,North Beacon Hill,47.58798261,-122.3116193,Entire home/apt,95,2,86,10/21/2018,3.62,1,8
16101111,Westlake Ave Downtown Condos Penthouse 3BD + Deck,8534462,Nadia,Cascade,South Lake Union,47.61993869,-122.3378611,Entire home/apt,500,2,11,8/7/2018,0.49,311,152
16113811,The Lucky Star: Classic House-Yacht,27322552,Garrett,Cascade,Westlake,47.63650301,-122.3401081,Entire home/apt,75,1,13,6/12/2017,0.55,3,0
16122339,Cozy townhouse in the heart of Madison Valley,87841949,Daniel,Central Area,Mann,47.61814756,-122.2977535,Entire home/apt,115,90,0,,,1,173
16133111,West Seattle Retreat,13202506,Laura,Delridge,South Delridge,47.53617273,-122.3609594,Private room,67,2,51,10/3/2018,2.38,1,364
16133871,Private Apartment in great location!,34128435,Brandon,Central Area,Minor,47.60371732,-122.3125406,Entire home/apt,99,2,84,10/29/2018,4.04,1,158
16149423,Modern Deluxe,66973860,Jason,Beacon Hill,North Beacon Hill,47.58780303,-122.3154813,Entire home/apt,300,2,61,11/4/2018,2.64,3,153
16155829,Modern Luxury Apt near Pike Place with Bay View,11845596,Stephanie,Downtown,Central Business District,47.60862864,-122.338123,Entire home/apt,75,1,45,11/14/2018,1.9,4,132
16162208,Historic Apartment in the I.D.,41285599,Naomi,Downtown,International District,47.59747605,-122.3242842,Entire home/apt,91,2,176,10/28/2018,7.9,2,164
16162304,"Hello Seattle 305, Next to Convention Center",8039076,Lee+Nancy,Downtown,First Hill,47.61004406,-122.3306216,Entire home/apt,189,2,54,9/4/2018,2.37,2,342
16163581,Bright & Open Apartment in the Central District,105505103,Benjamin,Central Area,Minor,47.60759569,-122.3072771,Entire home/apt,90,45,31,2/7/2018,1.33,1,89
16165483,1st floor 2 beds in a beautiful Eastlake townhome,36060597,Liana,Cascade,Eastlake,47.64439588,-122.3242991,Private room,219,3,6,10/2/2017,0.26,2,164
16167586,Light and bright house awaits you!,55061397,Kelley,Northgate,Maple Leaf,47.69203018,-122.3289488,Entire home/apt,150,5,8,10/29/2018,1.52,1,93
16177116,Charming 3bd Home! Near UW & Children's + Parking,104193136,Levi,Other neighborhoods,Bryant,47.67313576,-122.2820513,Entire home/apt,165,2,60,10/27/2018,2.61,2,130
16178003,Seattle Oasis,89911761,Tim,Northgate,Maple Leaf,47.69537332,-122.3255103,Entire home/apt,95,3,3,12/29/2016,0.13,1,0
16180550,Greenwood Family Home,2777054,Stacia,Other neighborhoods,Greenwood,47.70184258,-122.3453777,Entire home/apt,110,2,3,4/11/2018,0.27,3,0
16190394,Quaint Room near UW & Burke Gilman,64221458,Linda,Lake City,Cedar Park,47.7176132,-122.2864796,Private room,65,1,11,2/4/2018,0.67,1,0
16191388,Capitol Hill Studio 2,30343031,Eric,Capitol Hill,Broadway,47.61833681,-122.3145291,Entire home/apt,100,7,8,10/27/2018,0.42,4,244
16194980,Fremont Townhouse,26268832,Amy,Other neighborhoods,Fremont,47.65332359,-122.3546339,Entire home/apt,200,3,3,8/29/2017,0.17,1,0
16210642,Gorgeous Open 1 br b/t Pike&Pine Capital Hill,50550045,Lilly & Mackenzie,Capitol Hill,Broadway,47.61523986,-122.3251367,Entire home/apt,114,2,8,10/21/2018,0.35,163,84
16212445,Clean and Cozy Seattle studio,104972175,Becca,Capitol Hill,Broadway,47.61677788,-122.3180079,Entire home/apt,80,1,251,10/13/2018,11.01,5,50
16216104,Big private 1BR/BA close to Light Rail & downtown,6313649,Suzanne,Beacon Hill,North Beacon Hill,47.58034512,-122.3096713,Private room,94,1,27,8/26/2018,1.16,2,0
16218478,Bright 1-BR apt near Capitol Hill & Seattle U,986445,Tri,Central Area,Minor,47.60665853,-122.3149982,Entire home/apt,80,3,130,10/13/2018,5.6,5,13
16219864,Convention Center Condo 1BD 10,8534462,Nadia,Downtown,First Hill,47.61002959,-122.3305501,Entire home/apt,209,2,0,,,311,55
16220025,Convention Center Condo 1BD 11,8534462,Nadia,Downtown,First Hill,47.60940557,-122.3306938,Entire home/apt,209,2,1,6/18/2017,0.06,311,78
16220094,Pike's Place. 98 Walkscore 1BD 6,8534462,Nadia,Downtown,Central Business District,47.60359765,-122.3369638,Entire home/apt,229,2,3,7/25/2018,0.14,311,14
16220119,Convention Center Condo 1BD 12,8534462,Nadia,Downtown,First Hill,47.60882731,-122.3292331,Entire home/apt,209,2,3,8/12/2018,0.14,311,86
16220121,Pike's Place. 98 Walkscore 1BD 5,8534462,Nadia,Downtown,Central Business District,47.60442702,-122.3363307,Entire home/apt,229,2,4,5/19/2018,0.22,311,148
16220142,Pike's Place. 98 Walkscore 1BD 7,8534462,Nadia,Downtown,Central Business District,47.60371861,-122.3371512,Entire home/apt,229,2,0,,,311,120
16220165,Pike's Place. 98 Walkscore 1BD 3,8534462,Nadia,Downtown,Central Business District,47.60361416,-122.3370069,Entire home/apt,229,2,2,7/21/2017,0.1,311,122
16220197,Convention Center Condo 1BD 13,8534462,Nadia,Downtown,First Hill,47.61029914,-122.328986,Entire home/apt,209,2,1,1/15/2017,0.04,311,85
16220273,Convention Center Condo 1BD 14,8534462,Nadia,Downtown,First Hill,47.61045721,-122.3304492,Entire home/apt,209,2,0,,,311,83
16220404,Convention Center Condo 1BD 15,8534462,Nadia,Downtown,First Hill,47.61058011,-122.328509,Entire home/apt,209,2,1,3/5/2018,0.12,311,87
16220462,Convention Center Condo 1BD 16,8534462,Nadia,Downtown,First Hill,47.61011188,-122.3304788,Entire home/apt,209,2,0,,,311,76
16220464,Convention Center Condo 1BD 17,8534462,Nadia,Downtown,First Hill,47.61051663,-122.3288638,Entire home/apt,209,2,1,10/29/2017,0.08,311,77
16220570,Convention Center Condo 1BD 18,8534462,Nadia,Downtown,First Hill,47.60915302,-122.3283233,Entire home/apt,209,2,7,12/29/2017,0.34,311,108
16220696,Convention Center Condo 2BD 19,8534462,Nadia,Downtown,First Hill,47.60921236,-122.3305389,Entire home/apt,330,2,14,8/16/2017,0.61,311,112
16220744,Convention Center Condo 2BD 20,8534462,Nadia,Downtown,First Hill,47.61015348,-122.3284046,Entire home/apt,330,2,34,8/14/2018,1.46,311,113
16220757,Pike's Place. 98 Walkscore 1BD 8,8534462,Nadia,Downtown,Central Business District,47.60403311,-122.3355022,Entire home/apt,229,2,14,11/7/2018,0.61,311,150
16220883,42' Yacht in South Lake Union!!!,94975329,Scott,Interbay,Interbay,47.65483238,-122.3807474,Entire home/apt,85,2,13,7/13/2017,0.57,1,89
16227934,3 Story Townhome One Block From Beach,68412159,Brooke,West Seattle,Alki,47.57569655,-122.4100282,Entire home/apt,100,3,0,,,1,0
16232090,Capitol Hill Studio 6,30343031,Eric,Capitol Hill,Broadway,47.61899696,-122.3139759,Entire home/apt,120,7,12,11/3/2018,0.56,4,332
16232208,"98115,  UW, Childrens and NW Hospital and Downtown",75107528,Jody And Ray,Lake City,Matthews Beach,47.69888686,-122.2823434,Entire home/apt,299,5,32,8/30/2018,1.36,1,259
16239307,"Beacon hill 1 bedroom, 1 bath, entire basement",44767474,Whitney,Beacon Hill,North Beacon Hill,47.58504086,-122.3087315,Private room,40,7,22,10/5/2018,0.96,1,8
16244270,Capitol Hill Studio 4,30343031,Eric,Capitol Hill,Broadway,47.61837544,-122.3147259,Entire home/apt,120,4,11,10/26/2018,0.59,4,0
16255023,Sunny 1BR/1BA in modern West Seattle home,106288644,Kendra And Tyler,West Seattle,Fairmount Park,47.55302743,-122.3826693,Private room,49,2,139,10/28/2018,6.08,1,74
16256640,Spacious studio apt near Capitol Hill & Seattle U,986445,Tri,Central Area,Minor,47.60560267,-122.3162329,Entire home/apt,63,3,139,11/13/2018,6.22,5,50
16267549,"In City Seattle Home, 3 bdrm/1ba/Kitchen, Sleeps 5",106383589,Geno,Rainier Valley,Mount Baker,47.58244493,-122.2956039,Entire home/apt,209,2,50,11/11/2018,2.65,1,349
16283445,3 bedroom Ranch - Quiet on  Cul-du-Sac,54669634,Paul,Delridge,Riverview,47.53674412,-122.356119,Entire home/apt,150,1,13,9/2/2018,0.58,13,176
